epoch,home_team,away_team,tournament,neutral,home_team_win_percent,away_team_win_percent,winner
-2232126000.0,H-England,A-Scotland,British Home Championship,F,0.7391304347826086,0.5333333333333333,Home
-2206119600.0,H-Scotland,A-Wales,British Home Championship,F,0.5,0.08695652173913043,Home
-2204305200.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.08695652173913043,0.2857142857142857,Home
-2202490800.0,H-Northern Ireland,A-England,British Home Championship,F,0.2857142857142857,0.7272727272727273,Away
-2201713200.0,H-Wales,A-England,British Home Championship,F,0.13636363636363635,0.7272727272727273,Tie
-2200676400.0,H-Scotland,A-England,British Home Championship,F,0.5333333333333333,0.6956521739130435,Home
-2172250800.0,H-Wales,A-Scotland,British Home Championship,F,0.13043478260869565,0.5625,Tie
-2171646000.0,H-England,A-Northern Ireland,British Home Championship,F,0.6363636363636364,0.2857142857142857,Home
-2170868400.0,H-England,A-Wales,British Home Championship,F,0.6521739130434783,0.13636363636363635,Home
-2170436400.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.26666666666666666,0.13043478260869565,Away
-2169831600.0,H-England,A-Scotland,British Home Championship,F,0.6521739130434783,0.5333333333333333,Tie
-2141406000.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.13043478260869565,0.26666666666666666,Away
-2140628400.0,H-Wales,A-England,British Home Championship,F,0.125,0.6521739130434783,Tie
-2139591600.0,H-Scotland,A-Wales,British Home Championship,F,0.5,0.125,Home
-2138986800.0,H-Northern Ireland,A-England,British Home Championship,F,0.3333333333333333,0.6086956521739131,Away
-2135358000.0,H-England,A-Scotland,British Home Championship,F,0.6521739130434783,0.5333333333333333,Tie
-2128618800.0,H-Uruguay,A-Argentina,Friendly,F,0.0,0.0,Away
-2110561200.0,H-England,A-Northern Ireland,British Home Championship,F,0.625,0.3125,Home
-2109178800.0,H-England,A-Wales,British Home Championship,F,0.625,0.125,Home
-2108574000.0,H-Wales,A-Scotland,British Home Championship,F,0.125,0.5,Away
-2106932400.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.3333333333333333,0.13043478260869565,Home
-2106327600.0,H-England,A-Scotland,British Home Championship,F,0.6521739130434783,0.6,Away
